Complaint,Link,Date of Complaint
University of Colorado – Denver,https://equalprotect.org/case/equal-protection-project-v-university-of-colorado-denver/,"November 27, 2023"
University of North Dakota Law School (Tuition Waiver Program Open Only to Students in Specific Racial Groups Challenged),https://equalprotect.org/case/univeristy-of-north-dakota-law-school-cultural-diversity-tuition-waiver/,"November 7, 2023"
University of North Dakota (Tuition Waiver Program Open Only to Students in Specific Racial Groups  Challenged),https://equalprotect.org/case/univeristy-of-north-dakota-cultural-diversity-scholarship/,"November 4, 2023"
Bismarck State College (North Dakota) – (Tuition Waiver Program Open Only to Students in Specific Racial Groups Challenged),https://equalprotect.org/case/bismark-sate-college-cultural-diversity-waiver-program/,"October 23, 2023"
Western Kentucky University (Two Scholarships Restricting Eligibility Based on Race Challenged),https://equalprotect.org/case/western-kentucky-university-minorities-only-fellowships/,"September 16, 2023"
"State University of New York at Buffalo Medical School (College Prep Program Restricting Eligibility to Black, Latino, Alaskan Native or American Indian Students, or Those Coming from Economically Disadvantaged Backgrounds, Challenged)",https://equalprotect.org/case/university-at-buffalo-medical-school-medical-step-programs-for-historically-underrepresented-and-economically-disadvantaged-students/,"July 25, 2023"
"New York University Medical School (College Prep Program Restricting Eligibility to Black, Latino, Alaskan Native or American Indian Students, or Those Coming from Economically Disadvantaged Backgrounds, Challenged)",https://equalprotect.org/case/new-york-university-medical-school-medical-step-program-for-historically-underrepresented-and-economically-disadvantaged-students/,"August 19, 2023"
"Columbia Medical School (College Prep Program Restricting Eligibility to Black, Latino, Alaskan Native or American Indian Students, or Those Coming from Economically Disadvantaged Backgrounds, Challenged)",https://equalprotect.org/case/columbia-medical-school-medical-step-program-for-historically-underrepresented-and-economically-disadvantaged-students/,"August 19, 2023"
"Albert Einstein College of Medicine (College Prep Program Restricting Eligibility to Black, Latino, Alaskan Native or American Indian Students, or Those Coming from Economically Disadvantaged Backgrounds, Challenged)",https://equalprotect.org/case/albert-einstein-medical-school-medical-step-program-for-historically-underrepresented-and-economically-disadvantaged-students/,"August 19, 2023"
"University of Rochester Medical School (College Prep Program Restricting Eligibility to Black, Latino, Alaskan Native or American Indian Students, or Those Coming from Economically Disadvantaged Backgrounds, Challenged)",https://equalprotect.org/case/university-of-rochester-medical-school-medical-step-program-for-historically-underrepresented-and-economically-disadvantaged-students/,"August 19, 2023"
"Icahn School of Medicine at Mount Sinai (College Prep Program Restricting Eligibility to Black, Latino, Alaskan Native or American Indian Students, or Those Coming from Economically Disadvantaged Backgrounds, Challenged)",https://equalprotect.org/case/mt-sinai-medical-school-medical-step-program-for-historically-underrepresented-and-economically-disadvantaged-students/,"August 19, 2023"
"Albany Medical College (College Prep Program Restricting Eligibility to Black, Latino, Alaskan Native or American Indian Students, or Those Coming from Economically Disadvantaged Backgrounds, Challenged)",https://equalprotect.org/case/albany-medical-college-medical-step-program-for-historically-underrepresented-and-economically-disadvantaged-students/,"August 19, 2023"
Kansas State University (“Multicultural” Scholarship Giving Preference to Students in Certain Racial Groups Challenged),https://equalprotect.org/case/kansas-state-university-multicultural-scholarship-for-students-from-historically-underrepresented-backgrounds/,"August 16, 2023"
University of Nebraska-Lincoln (Black Public Media Residency Program Challenged),https://equalprotect.org/case/university-of-nebraska-lincoln-black-public-media-residency/,"August 6, 2023"
New York University (Whites-Only Anti-Racism Workshops Challenged),https://equalprotect.org/case/new-york-university-whites-only-anti-racism-workshops/,"July 14, 2023"
State University of New York at Buffalo School of Law (Undergraduate Law Program for Students of Color and First-Generation College Students Challenged),https://equalprotect.org/case/university-at-buffalo-school-of-law-undergraduate-law-program-for-students-of-color-and-first-generation-college-students/,"June 27, 2023"
Missouri State University (“Diverse and Women-Owned” Business Boot Camp Challenged),https://equalprotect.org/case/missouri-state-university-diverse-and-women-owned-business-boot-camp/,"June 2, 2023"
University of Minnesota (Undergraduate Students of Color Paid Summer Research Program Challenged),https://equalprotect.org/case/university-of-minnesota-undergrads-of-color-only-summer-research-program/,"May 19, 2023"
"University at Albany, State University of New York (Promotion of Albany Public Library Blacks-Only Fellowship Program Challenged)",https://equalprotect.org/case/university-at-albany-promotion-of-albany-public-library-blacks-only-fellowship-program/,"April 12, 2023"
Providence Public School District (School Loan Forgiveness Program Open Only to Non-White Teachers Challenged),https://equalprotect.org/case/legal-insurrection-foundation-v-providence-public-school-district/,"November 15, 2022"
Barrington Public Schools (Failure to Respond to Public Records Request Challenged),https://equalprotect.org/case/legal-insurrection-foundation-v-barrington-public-schools/,"October 25, 2021"
"City of Asheville, et al.",https://equalprotect.org/case/wnc-citizens-for-equality-inc-v-city-of-asheville-et-al/,"October 19, 2021"
SUNY Upstate Medical University (Failure to Respond to Public Records Request Challenged),https://equalprotect.org/case/legal-insurrection-foundation-v-suny-upstate-medical-university/,"April 8, 2021"
